Solution,Type,Quarter,Before,During,After,Not_achieved_yet,Planned,Actual
PJ.10-02a,Maturity_Gate,Q2-2019,0,0,0,0,0,0
PJ.10-02a,Maturity_Gate,Q3-2019,0,0,0,0,0,0
PJ.10-02a,Maturity_Gate,Q4-2019,0,0,0,1,1,0
PJ.10-02a,Work_Package,Q4-2016,0,0,0,0,0,0
PJ.10-02a,Work_Package,Q1-2017,0,0,0,0,0,0
PJ.10-02a,Work_Package,Q2-2017,0,0,0,0,0,0
PJ.10-02a,Work_Package,Q3-2017,0,0,0,0,0,0
PJ.10-02a,Work_Package,Q4-2017,0,0,0,0,0,0
PJ.10-02a,Work_Package,Q1-2018,0,0,0,0,0,0
PJ.10-02a,Work_Package,Q2-2018,0,0,0,0,0,0
PJ.10-02a,Work_Package,Q3-2018,0,0,0,0,0,0
PJ.10-02a,Work_Package,Q4-2018,0,0,0,1,1,0
PJ.10-02a,Work_Package,Q1-2019,0,0,0,0,0,0
PJ.10-02a,Work_Package,Q2-2019,0,0,0,0,0,0
PJ.10-02a,Work_Package,Q3-2019,0,0,0,0,0,0
PJ.10-02a,Work_Package,Q4-2019,0,0,0,1,1,0
PJ.10-02a,Communication,Q4-2016,0,0,0,0,0,0
PJ.10-02a,Communication,Q1-2017,0,0,0,0,0,0
PJ.10-02a,Communication,Q2-2017,0,0,0,0,0,0
PJ.10-02a,Communication,Q3-2017,0,0,0,0,0,0
PJ.10-02a,Communication,Q4-2017,0,0,0,0,0,0
PJ.10-02a,Communication,Q1-2018,0,0,0,0,0,0
PJ.10-02a,Communication,Q2-2018,0,0,0,0,0,0
PJ.10-02a,Communication,Q3-2018,0,0,0,0,0,0
PJ.10-02a,Communication,Q4-2018,0,0,0,1,1,0
PJ.10-02a,Communication,Q1-2019,0,0,0,0,0,0
PJ.10-02a,Communication,Q2-2019,0,0,0,0,0,0
PJ.10-02a,Communication,Q3-2019,0,0,0,0,0,0
PJ.10-02a,Communication,Q4-2019,0,0,0,1,1,0
PJ.10-02a,Reporting_Period,Q4-2016,0,0,0,0,0,0
PJ.10-02a,Reporting_Period,Q1-2017,0,0,0,0,0,0
PJ.10-02a,Reporting_Period,Q2-2017,0,0,0,0,0,0
PJ.10-02a,Reporting_Period,Q3-2017,0,0,0,0,0,0
PJ.10-02a,Reporting_Period,Q4-2017,0,0,0,0,0,0
PJ.10-02a,Reporting_Period,Q1-2018,0,0,0,0,0,0
PJ.10-02a,Reporting_Period,Q2-2018,0,0,0,0,0,0
PJ.10-02a,Reporting_Period,Q3-2018,0,0,0,0,0,0
PJ.10-02a,Reporting_Period,Q4-2018,0,0,0,1,1,0
